Date,TimeStart,TimeEnd,Elapsed,Temperature,Weather,Location,Barn.in.out.,Animal,Sex,Treatment,Collard,CollarIssue,RelDay,AdjObTime,pro.SHU,pro.SHD,pro.lay,pro.headshake,pro.walk,pro.FHU,pro.FHD,pro.scratch,pro.social,pro.oov,TotalObs,ModTotObs
10/8/2015,10:23,10:33,10,19,Sunny,Meade,in,Loretta,Female,control,No,No,-14,1,0.7,0,0,0,NA,0.25,0,0,0.05,0,40,40
10/8/2015,10:23,10:33,10,19,Sunny,Meade,in,Ruby,Female,ATS,No,No,-14,1,0.425,0.025,0,0.15,NA,0.325,0,0.05,0.025,0,40,40
10/8/2015,10:23,10:33,10,19,Sunny,Meade,in,Scout,Female,ATS,No,No,-14,1,0.45,0.025,0,0,NA,0.275,0,0.075,0.15,0.025,39,40
10/8/2015,10:23,10:33,10,19,Sunny,Meade,in,Bamako,Female,ATS,No,No,-14,1,0.45,0.025,0,0,NA,0.275,0,0.05,0.1,0.1,36,40
10/9/2015,8:45,8:55,10,18,Sunny,Meade,in,Violet,Female,Vectronic,No,No,-13,1,0.1,0,0.45,0.2,NA,0.125,0,0,0.025,0.1,36,40
10/9/2015,8:45,8:55,10,18,Sunny,Meade,in,Bamako,Female,ATS,No,No,-13,1,0.125,0,0.75,0,NA,0.075,0,0,0.05,0,40,40
10/15/2015,11:15,11:25,10,16,Sunny,Meade,out,Chari,Female,Vectronic,No,No,-17,1,0.325,0,0,0.15,NA,0,0.5,0,0,0.025,39,40
10/15/2015,11:15,11:25,10,16,Sunny,Meade,out,Jena,Female,Vectronic,No,No,-7,1,0.19047619,0.071428571,0,0.047619048,NA,0,0.547619048,0,0.142857143,NA,42,42
10/15/2015,11:15,11:25,10,16,Sunny,Meade,out,Niamey,Female,ATS,No,No,-17,1,0.425,0.15,0,0.075,NA,0,0.225,0,0.125,0,40,40
10/15/2015,11:15,11:25,10,16,Sunny,Meade,out,Ruby,Female,ATS,No,No,-7,1,0.30952381,0,0,0.261904762,NA,0,0.285714286,0.095238095,0.047619048,NA,42,42
10/15/2015,11:30,11:40,10,16,Sunny,Meade,out,Violet,Female,Vectronic,No,No,-7,1,0.575,0,0,0.1,NA,0.325,0,0,0,0,40,40
10/15/2015,11:30,11:40,10,16,Sunny,Meade,out,Loretta,Female,control,No,No,-7,1,0.275,0,0,0.025,NA,0,0.6,0,0.1,0,40,40
10/16/2015,9:35,9:45,10,18,Sunny,Meade,out,Scout,Female,ATS,No,No,-6,1,0.075,0.425,0,0,NA,0,0.25,0.2,0.05,0,40,40
10/16/2015,9:35,9:45,10,18,Sunny,Meade,out,Violet,Female,Vectronic,No,No,-6,1,0.175,0,0,0.05,NA,0.3,0.125,0.2,0.125,0.025,39,40
10/16/2015,9:50,10:00,10,18,Sunny,Meade,out,Shadow,Female,ATS,No,No,-6,1,0.489361702,0,0,0,NA,0,0.319148936,0.191489362,0,NA,47,47
10/16/2015,9:50,10:00,10,18,Sunny,Meade,out,Ruby,Female,ATS,No,No,-6,1,0.15,0,0,0,NA,0.3,0.425,0.125,0,0,40,40
10/16/2015,10:10,10:20,10,20,Sunny,Meade,out,Chari,Female,Vectronic,No,No,-16,1,0.4,0,0,0,NA,0.2,0.288888889,0.044444444,0.066666667,NA,45,45
10/16/2015,10:10,10:20,10,20,Sunny,Meade,out,Jena,Female,Vectronic,No,No,-6,1,0.625,0,0,0,NA,0.075,0.2,0,0.05,0.05,38,40
10/19/2015,9:55,10:05,10,6,Sunny,Meade,out,Violet,Female,Vectronic,No,No,-3,1,0.25,0,0,0.075,0,0.425,0.125,0.1,0,0.025,39,40
10/19/2015,10:10,10:20,10,6,Sunny,Meade,out,Niamey,Female,ATS,No,No,-15,1,0.375,0.1,0,0,0,0,0.2,0,0.325,0,40,40
10/19/2015,10:15,10:25,10,7,Sunny,Meade,out,Ruby,Female,ATS,No,No,-3,1,0.266666667,0.155555556,0,0.022222222,0,0,0.333333333,0.133333333,0.088888889,NA,45,45
10/19/2015,10:30,10:40,10,7,Sunny,Meade,out,Shadow,Female,ATS,No,No,-3,1,0.175,0.1,0,0,0,0,0.125,0.45,0.1,0.05,38,40
10/19/2015,10:45,10:55,10,8,Sunny,Meade,out,Jena,Female,Vectronic,No,No,-3,1,0.2,0,0,0.075,0,0.075,0.35,0.2,0.1,0,40,40
10/19/2015,11:15,11:25,10,9,Sunny,Meade,out,Niamey,Female,ATS,No,No,-15,1,0.428571429,0.238095238,0,0,0,0.095238095,0.238095238,0,0,NA,42,42
10/19/2015,11:15,11:25,10,9,Sunny,Meade,out,Chari,Female,Vectronic,No,No,-15,1,0.05,0.1,0,0,0,0.125,0.575,0.05,0.1,0,40,40
10/20/2015,9:33,9:43,10,11,Sunny,Meade,out,Scout,Female,ATS,No,No,-2,1,0.25,0,0,0,0,0,0.45,0.225,0.075,0,40,40
10/20/2015,8:42,8:52,10,6,Sunny,Meade,out,Cat,Female,control,No,No,-2,1,0.219512195,0.024390244,0,0,0,0.097560976,0.658536585,0,0,NA,41,41
10/20/2015,8:42,8:52,10,6,Sunny,Meade,out,Bamako,Female,ATS,No,No,-2,1,0.275,0.075,0,0,0,0.325,0.325,0,0,0,40,40
10/20/2015,8:56,9:06,10,8,Sunny,Meade,out,Ruby,Female,ATS,No,No,-2,1,0.024390244,0.097560976,0,0,0,0,0.87804878,0,0,NA,41,41
10/20/2015,8:56,9:06,10,8,Sunny,Meade,out,Jena,Female,Vectronic,No,No,-2,1,0.243902439,0.048780488,0,0.048780488,0,0.097560976,0.463414634,0.097560976,0,NA,41,41
10/21/2015,7:50,8:00,10,7,Sunny,Meade,out,Violet,Female,Vectronic,No,No,-1,1,0.325,0.35,0,0,0,0.25,0.075,0,0,0,40,40
10/21/2015,7:50,8:00,10,7,Sunny,Meade,out,Scout,Female,ATS,No,No,-1,1,0,0.15,0,0.175,0,0,0.35,0.275,0.05,0,40,40
10/21/2015,7:50,8:00,10,7,Sunny,Meade,out,Cat,Female,control,No,No,-1,1,0,0,0,0.025,0,0.325,0.5,0,0.15,0,40,40
10/21/2015,8:15,8:25,10,9,Sunny,Meade,out,Niamey,Female,ATS,No,No,-13,1,0.15,0,0,0.175,0,0,0.4,0.05,0.175,0.05,38,40
10/21/2015,8:15,8:25,10,9,Sunny,Meade,out,Chari,Female,Vectronic,No,No,-13,1,0.6,0,0,0,0,0.2,0.2,0,0,0,40,40
10/21/2015,8:15,8:25,10,9,Sunny,Meade,out,Loretta,Female,control,No,No,-1,1,0.375,0.125,0,0,0,0,0.5,0,0,0,40,40
10/21/2015,8:33,8:43,10,9,Sunny,Meade,out,Jena,Female,Vectronic,No,No,-1,1,0.325,0,0,0.1,0,0,0.275,0.225,0.075,0,40,40
10/21/2015,8:33,8:43,10,9,Sunny,Meade,out,Shadow,Female,ATS,No,No,-1,1,0.404761905,0,0,0.095238095,0,0.119047619,0.19047619,0.19047619,0,NA,42,42
10/21/2015,8:50,9:00,10,10,Sunny,Meade,out,Ruby,Female,ATS,No,No,-1,1,0.225,0,0,0.05,0,0.2,0.325,0.125,0.075,0,40,40
10/21/2015,8:50,9:00,10,10,Sunny,Meade,out,Bamako,Female,ATS,No,No,-1,1,0.390243902,0,0,0,0,0.195121951,0.414634146,0,0,NA,41,41
10/22/2015,10:59,11:09,10,18,Sunny,Meade,out,Loretta,Female,control,No,No,0,2,0.75,0.025,0,0,0.125,0,0.075,0.025,0,0,40,40
10/22/2015,11:14,11:24,10,18,Sunny,Meade,out,Bamako,Female,ATS,Yes,No,0,2,0.275,0,0.725,0,0,0,0,0,0,0,40,40
10/22/2015,13:51,14:01,10,25,Sunny,Meade,out,Shadow,Female,ATS,Yes,No,0,2,0.125,0,0,0.025,0.05,0,0.8,0,0,0,40,40
10/22/2015,14:07,14:19,12,26,Sunny,Meade,out,Ruby,Female,ATS,Yes,No,0,2,0.075,0.125,0,0.2,0.075,0,0.5,0.025,0,0,40,40
10/22/2015,14:07,14:19,12,26,Sunny,Meade,out,Jena,Female,Vectronic,Yes,No,0,2,0.5,0.125,0,0.041666667,0.083333333,0,0.229166667,0.020833333,0,NA,48,48
10/22/2015,14:21,14:31,10,26,Sunny,Meade,out,Violet,Female,Vectronic,Yes,No,0,2,0.35,0.025,0.5,0.1,0,0,0.025,0,0,0,40,40
10/22/2015,14:48,14:58,10,26,Sunny,Meade,out,Chari,Female,Vectronic,No,No,-12,1,0,0,0,0,0.875,0,0.075,0.05,0,0,40,40
10/22/2015,15:09,15:19,10,26,Sunny,Meade,out,Niamey,Female,ATS,No,No,-12,1,0,0,1,0,0,0,0,0,0,0,40,40
10/23/2015,13:53,14:03,10,19,Sunny,Meade,out,Chari,Female,Vectronic,No,No,-11,1,0.025,0,0,0,0.025,0,0.95,0,0,0,40,40
10/23/2015,13:53,14:03,10,19,Sunny,Meade,out,Scout,Female,ATS,Yes,No,1,2,0.024390244,0,0,0,0,0,0.975609756,0,0,NA,41,41
10/23/2015,13:53,14:03,10,19,Sunny,Meade,out,Bamako,Female,ATS,Yes,No,1,2,0,0,0,0.05,0.025,0,0.925,0,0,0,40,40
10/23/2015,14:26,14:37,11,19,Sunny,Meade,out,Violet,Female,Vectronic,Yes,No,1,2,0.225,0,0,0.125,0,0.175,0.275,0.075,0.125,0,40,40
10/23/2015,14:26,14:37,11,19,Sunny,Meade,out,Jena,Female,Vectronic,Yes,No,1,2,0.2,0,0,0,0.25,0.125,0.225,0.05,0.125,0.025,39,40
10/23/2015,14:26,14:37,11,19,Sunny,Meade,out,Shadow,Female,ATS,Yes,No,1,2,0.195121951,0,0,0.195121951,0.146341463,0,0.317073171,0,0.146341463,NA,41,41
10/23/2015,14:26,14:37,11,19,Sunny,Meade,out,Cat,Female,control,No,No,1,2,0.25,0,0,0.125,0.075,0.025,0.275,0.25,0,0,40,40
10/23/2015,14:26,14:37,11,19,Sunny,Meade,out,Ruby,Female,ATS,Yes,No,1,2,0.175,0,0,0.25,0.175,0,0.325,0,0.075,0,40,40
10/25/2015,8:56,9:06,10,15,Overcast,Meade,out,Niamey,Female,ATS,No,No,-9,1,0.95,0,0,0,0.05,0,0,0,0,0,40,40
10/25/2015,8:56,9:06,10,15,Overcast,Meade,out,Bamako,Female,ATS,Yes,No,3,2,0.925,0,0,0,0.075,0,0,0,0,0,40,40
10/25/2015,9:16,9:26,10,15,Overcast,Meade,out,Loretta,Female,control,No,No,3,2,0.375,0,0,0,0,0.575,0.025,0,0,0.025,39,40
10/25/2015,9:16,9:26,10,15,Overcast,Meade,out,Chari,Female,Vectronic,No,No,-9,1,0.05,0,0,0.05,0,0.675,0.175,0,0,0.05,38,40
10/25/2015,9:16,9:26,10,15,Overcast,Meade,out,Shadow,Female,ATS,Yes,No,3,2,0.142857143,0,0,0.214285714,0,0.595238095,0.047619048,0,0,NA,42,42
10/25/2015,9:36,9:46,10,15,Overcast,Meade,out,Ruby,Female,ATS,Yes,No,3,2,0.487804878,0,0,0,0,0.512195122,0,0,0,NA,41,41
10/25/2015,9:36,9:46,10,9,Overcast,Meade,out,Jena,Female,Vectronic,Yes,No,3,2,0.275,0,0,0,0.125,0.6,0,0,0,0,40,40
10/25/2015,9:36,9:46,10,9,Overcast,Meade,out,Violet,Female,Vectronic,Yes,No,3,2,0.25,0,0,0,0,0.675,0.075,0,0,0,40,40
10/26/2015,8:52,9:02,10,9,Rainy,Meade,in,Chari,Female,Vectronic,No,No,-8,1,0.05,0,0,0,0,0,0.875,0,0.075,0,40,40
10/26/2015,8:52,9:02,10,9,Rainy,Meade,in,Violet,Female,Vectronic,Yes,No,1,3,0.675,0.075,0,0.125,0.05,0,0.075,0,0,0,40,40
10/26/2015,9:20,9:30,10,9,Rainy,Meade,in,Jena,Female,Vectronic,Yes,No,4,3,0.431818182,0.227272727,0,0,0,0,0.340909091,0,0,NA,44,44
10/26/2015,9:20,9:30,10,9,Rainy,Meade,in,Niamey,Female,ATS,No,No,-8,1,0.025,0.075,0,0.05,0.175,0,0.475,0.125,0.075,0,40,40
10/26/2015,9:20,9:30,10,9,Rainy,Meade,in,Loretta,Female,control,No,No,4,3,0,0,0,0.1,0,0,0.775,0.1,0.025,0,40,40
10/26/2015,9:20,9:30,10,9,Rainy,Meade,in,Shadow,Female,ATS,Yes,No,4,3,0.075,0,0,0,0,0,0.875,0,0.05,0,40,40
10/26/2015,9:52,10:02,10,10,Rainy,Meade,in,Cat,Female,control,No,No,4,3,0.125,0.075,0,0,0.1,0.2,0.3,0.075,0.05,0.075,37,40
10/26/2015,9:52,10:02,10,10,Rainy,Meade,in,Ruby,Female,ATS,Yes,No,4,3,0.025,0,0,0.05,0,0,0.875,0,0.05,0,40,40
10/26/2015,10:15,10:25,10,10,Rainy,Meade,in,Scout,Female,ATS,Yes,No,4,3,0.073170732,0.073170732,0,0.170731707,0.073170732,0,0.536585366,0,0.073170732,NA,41,41
10/27/2015,8:30,8:40,10,13,Sunny,Meade,out,Jena,Female,Vectronic,Yes,No,5,3,0.4,0,0,0,0.275,0,0.2,0.1,0.025,0,40,40
10/27/2015,8:30,8:40,10,13,Sunny,Meade,out,Violet,Female,Vectronic,Yes,No,5,3,0.375,0,0,0,0.05,0,0.5,0.075,0,0,40,40
10/27/2015,8:30,8:40,10,13,Sunny,Meade,out,Loretta,Female,control,No,No,5,3,0.075,0,0,0,0.225,0.3,0.4,0,0,0,40,40
10/27/2015,8:50,9:00,10,13,Sunny,Meade,out,Cat,Female,control,No,No,5,3,0.068181818,0,0,0,0,0.409090909,0.522727273,0,0,NA,44,44
10/27/2015,8:50,9:00,10,13,Sunny,Meade,out,Ruby,Female,ATS,Yes,No,5,3,0.1,0,0,0,0.075,0,0.825,0,0,0,40,40
10/27/2015,9:05,9:15,10,13,Sunny,Meade,out,Shadow,Female,ATS,Yes,No,5,3,0.075,0.075,0,0.175,0.125,0,0.55,0,0,0,40,40
10/27/2015,9:05,9:15,10,13,Sunny,Meade,out,Scout,Female,ATS,Yes,No,5,3,0.05,0,0,0,0.125,0.425,0.325,0.075,0,0,40,40
10/28/2015,8:35,8:45,10,15,Overcast,Meade,out,Jena,Female,Vectronic,Yes,No,6,3,0.375,0,0,0,0.275,0,0.35,0,0,0,40,40
10/28/2015,8:35,8:45,10,15,Overcast,Meade,out,Cat,Female,control,No,No,6,3,0.25862069,0,0,0,0.189655172,0,0.310344828,0.103448276,0.137931034,NA,58,58
10/27/2015,9:20,9:30,10,13,Sunny,Meade,out,Niamey,Female,ATS,Yes,No,-7,1,0.6,0,0,0,0,0.3,0,0,0.1,0,40,40
10/27/2015,9:20,9:30,10,13,Sunny,Meade,out,Chari,Female,Vectronic,Yes,No,-7,1,0,0,0,0,0,0.25,0.75,0,0,0,40,40
10/28/2015,8:51,9:01,10,15,Overcast,Meade,out,Shadow,Female,ATS,Yes,No,6,3,0,0,0,0,0,0.575,0.425,0,0,0,40,40
10/28/2015,8:51,9:01,10,15,Overcast,Meade,out,Chari,Female,Vectronic,Yes,No,-5,1,0.285714286,0,0.19047619,0,0,0.428571429,0,0.095238095,0,NA,42,42
10/28/2015,9:05,9:15,10,15,Overcast,Meade,out,Ruby,Female,ATS,Yes,No,6,3,0,0,0,0,0.15,0.3,0.55,0,0,0,40,40
10/28/2015,9:05,9:15,10,15,Overcast,Meade,out,Bamako,Female,ATS,Yes,No,6,3,0.225,0,0,0,0,0.275,0.425,0,0.075,0,40,40
10/29/2015,8:25,8:35,10,12,Sunny,Meade,out,Scout,Female,ATS,Yes,No,7,3,0.1,0,0,0,0.1,0.275,0.45,0.075,0,0,40,40
10/29/2015,8:25,8:35,10,12,Sunny,Meade,out,Niamey,Female,ATS,Yes,No,-4,1,0.325,0,0,0.075,0,0,0.45,0.15,0,0,40,40
10/29/2015,8:40,8:50,10,12,Sunny,Meade,out,Loretta,Female,control,No,No,7,3,0.125,0,0,0,0.075,0.175,0.625,0,0,0,40,40
10/29/2015,8:40,8:50,10,12,Sunny,Meade,out,Violet,Female,Vectronic,Yes,No,4,3,0,0,0,0,0.175,0.375,0.45,0,0,0,40,40
10/29/2015,8:54,9:04,10,13,Sunny,Meade,out,Shadow,Female,ATS,Yes,No,7,3,0.3,0.1,0,0,0.025,0.475,0.1,0,0,0,40,40
10/29/2015,8:54,9:04,10,13,Sunny,Meade,out,Jena,Female,Vectronic,Yes,No,7,3,0.5,0.175,0,0,0.325,0,0,0,0,0,40,40
10/29/2015,9:08,9:18,10,13,Sunny,Meade,out,Ruby,Female,ATS,Yes,No,7,3,0,0,0,0,0,0.4,0.6,0,0,0,40,40
10/29/2015,9:08,9:18,10,13,Sunny,Meade,out,Chari,Female,Vectronic,Yes,No,-4,1,0.25,0,0,0,0.35,0,0.4,0,0,0,40,40
10/29/2015,13:25,13:35,10,16,Sunny,Rivinus,out,Tex,Male,Vectronic,No,No,-5,1,0.15,0,0,0,0.85,0,0,0,0,0,40,40
10/29/2015,13:42,13:52,10,16,Sunny,Rivinus,out,Dr. Bob,Male,control,No,No,-5,1,0.375,0,0,0,0.35,0,0.075,0.15,0.05,0,40,40
10/29/2015,14:00,14:10,10,16,Sunny,Rivinus,out,Lewis,Male,Vectronic,No,No,-5,1,0.2,0,0,0.325,0,0,0,0.425,0.05,0,40,40
10/30/2015,8:37,8:47,10,8,Sunny,Meade,out,Loretta,Female,control,No,No,8,3,0.5,0,0,0,0.125,0,0.375,0,0,0,40,40
10/30/2015,8:37,8:47,10,8,Sunny,Meade,out,Scout,Female,ATS,Yes,No,8,3,0.133333333,0,0,0,0.266666667,0.288888889,0.311111111,0,0,NA,45,45
10/30/2015,8:37,8:47,10,8,Sunny,Meade,out,Violet,Female,Vectronic,Yes,No,8,3,0.1,0,0,0,0.075,0.25,0.575,0,0,0,40,40
10/30/2015,8:50,9:00,10,8,Sunny,Meade,out,Shadow,Female,ATS,Yes,No,8,3,0,0,0,0,0,0.5,0.5,0,0,0,40,40
10/30/2015,8:50,9:00,10,8,Sunny,Meade,out,Bamako,Female,ATS,Yes,No,8,3,0.2,0,0,0,0.15,0.275,0.375,0,0,0,40,40
10/30/2015,9:03,9:13,10,8,Sunny,Meade,out,Ruby,Female,ATS,Yes,No,8,3,0.15,0,0,0,0.325,0.375,0.1,0.05,0,0,40,40
10/30/2015,9:03,9:13,10,8,Sunny,Meade,out,Niamey,Female,ATS,Yes,No,-3,1,0.1,0,0,0.075,0.175,0.3,0.2,0.1,0.05,0,40,40
10/30/2015,9:03,9:13,10,8,Sunny,Meade,out,Chari,Female,Vectronic,Yes,No,-3,1,0,0,0,0,0.125,0,0.825,0,0.05,0,40,40
10/30/2015,13:20,13:30,10,11,Sunny,Rivinus,out,Tex,Male,Vectronic,No,No,-4,1,0.5,0,0,0,0.5,0,0,0,0,0,40,40
10/30/2015,13:37,13:47,10,11,Sunny,Rivinus,out,Lewis,Male,Vectronic,No,No,-4,1,0.35,0,0,0,0.15,0,0,0.3,0.2,0,40,40
10/30/2015,13:50,14:00,10,11,Sunny,Rivinus,out,Dr. Bob,Male,control,No,No,-4,1,0.25,0,0.15,0,0.45,0,0.075,0.075,0,0,40,40
11/2/2015,10:30,10:40,10,12,Cloudy,Meade,out,Loretta,Female,control,No,No,11,3,0.25,0,0,0,0.3,0.45,0,0,0,0,40,40
11/2/2015,10:30,10:40,10,12,Cloudy,Meade,out,Niamey,Female,ATS,Yes,No,0,2,0.170731707,0,0,0.048780488,0,0,0.219512195,0.487804878,0.073170732,NA,41,41
11/2/2015,10:30,10:40,10,12,Cloudy,Meade,out,Chari,Female,Vectronic,Yes,No,0,2,0.073170732,0,0,0.195121951,0.536585366,0,0,0.195121951,0,NA,41,41
11/2/2015,10:30,10:40,10,12,Cloudy,Meade,out,Cat,Female,control,No,No,11,3,0.3,0,0,0,0.1,0,0.4,0,0.2,0,40,40
11/2/2015,10:57,11:07,10,13,Cloudy,Meade,out,Scout,Female,ATS,Yes,No,11,3,0.317073171,0,0,0,0.634146341,0,0,0.048780488,0,NA,41,41
11/2/2015,10:57,11:07,10,13,Cloudy,Meade,out,Jena,Female,Vectronic,Yes,No,11,3,0.225,0.15,0,0.075,0.25,0.075,0.125,0,0.1,0,40,40
11/2/2015,10:57,11:07,10,13,Cloudy,Meade,out,Ruby,Female,ATS,Yes,No,11,3,0.275,0,0.075,0.05,0.25,0,0.2,0.1,0.05,0,40,40
11/2/2015,10:57,11:07,10,13,Cloudy,Meade,out,Shadow,Female,ATS,Yes,No,11,3,0.025,0,0,0,0.25,0,0.725,0,0,0,40,40
